algo,n,dist,rep,time_ms,comps,moves
insertion,200,random,0,1.6800829907879233,10552,10555
shell,200,random,0,0.2662090118974447,1777,1851
merge,200,random,0,0.2854169870261103,1284,1400
quick,200,random,0,0.15570901450701058,1069,188
quick3,200,random,0,0.31408402719534934,1395,1523
heap,200,random,0,0.3680420049931854,2473,1370
insertion,200,random,1,1.4927499869372696,10236,10238
shell,200,random,1,0.27308298740535975,1847,1936
merge,200,random,1,0.2811659942381084,1279,1386
quick,200,random,1,0.1428340037818998,952,198
quick3,200,random,1,0.3361249982845038,1532,1666
heap,200,random,1,0.3663340175990015,2470,1377
insertion,200,random,2,1.539000018965453,10657,10662
shell,200,random,2,0.2791250008158386,1896,1992
merge,200,random,2,0.2824580005835742,1270,1388
quick,200,random,2,0.14595797983929515,1016,189
quick3,200,random,2,0.3655840118881315,1708,1842
heap,200,random,2,0.3614160232245922,2459,1351
insertion,200,sorted,0,0.02937499084509909,199,199
shell,200,sorted,0,0.12362501001916826,821,821
merge,200,sorted,0,0.1751669915392995,732,732
quick,200,sorted,0,0.08399999933317304,815,0
quick3,200,sorted,0,0.29887500568293035,1353,1484
heap,200,sorted,0,0.396334013203159,2587,1488
insertion,200,sorted,1,0.02995799877680838,199,199
shell,200,sorted,1,0.13816598220728338,821,821
merge,200,sorted,1,0.19508300465531647,732,732
quick,200,sorted,1,0.0907079956959933,815,0
quick3,200,sorted,1,0.35079100052826107,1574,1707
heap,200,sorted,1,0.40774999069981277,2587,1488
insertion,200,sorted,2,0.03012499655596912,199,199
shell,200,sorted,2,0.12700000661425292,821,821
merge,200,sorted,2,0.18479200662113726,732,732
quick,200,sorted,2,0.08616701234132051,815,0
quick3,200,sorted,2,0.38841701461933553,1831,1963
heap,200,sorted,2,0.39450000622309744,2587,1488
insertion,200,reverse,0,3.0376659997273237,19900,20099
shell,200,reverse,0,0.24216598831117153,1400,1553
merge,200,reverse,0,0.2541670110076666,812,1544
quick,200,reverse,0,0.09316700743511319,816,99
quick3,200,reverse,0,0.31437500729225576,1381,1514
heap,200,reverse,0,0.3513749979902059,2275,1206
insertion,200,reverse,1,2.934791991719976,19900,20099
shell,200,reverse,1,0.2099999983329326,1400,1553
merge,200,reverse,1,0.25979202473536134,812,1544
quick,200,reverse,1,0.09287500870414078,816,99
quick3,200,reverse,1,0.31704100547358394,1444,1580
heap,200,reverse,1,0.3260000084992498,2275,1206
insertion,200,reverse,2,2.925415989011526,19900,20099
shell,200,reverse,2,0.21133400150574744,1400,1553
merge,200,reverse,2,0.2535829844418913,812,1544
quick,200,reverse,2,0.09258298086933792,816,99
quick3,200,reverse,2,0.33599999733269215,1575,1708
heap,200,reverse,2,0.3274169866926968,2275,1206
insertion,200,nearly,0,0.03329198807477951,229,229
shell,200,nearly,0,0.12062498717568815,851,851
merge,200,nearly,0,0.1782089821062982,747,751
quick,200,nearly,0,0.08529101614840329,815,1
quick3,200,nearly,0,0.3218339988961816,1455,1587
heap,200,nearly,0,0.39291701978072524,2581,1480
insertion,200,nearly,1,0.04720798460766673,229,229
shell,200,nearly,1,0.132083980133757,851,851
merge,200,nearly,1,0.1940829970408231,747,751
quick,200,nearly,1,0.09020799188874662,815,1
quick3,200,nearly,1,0.37316701491363347,1622,1757
heap,200,nearly,1,0.39812500472180545,2581,1480
insertion,200,nearly,2,0.033666990930214524,229,229
shell,200,nearly,2,0.12174999574199319,851,851
merge,200,nearly,2,0.17970902263186872,747,751
quick,200,nearly,2,0.08941697888076305,815,1
quick3,200,nearly,2,0.3499999875202775,1561,1700
heap,200,nearly,2,0.3993749851360917,2581,1480
insertion,200,dups,0,1.238917000591755,8560,8561
shell,200,dups,0,0.18279202049598098,1251,1310
merge,200,dups,0,0.2775830216705799,1272,1352
quick,200,dups,0,0.12495799455791712,935,260
quick3,200,dups,0,0.08862497634254396,572,392
heap,200,dups,0,0.3411669749766588,2350,1263
insertion,200,dups,1,1.2998329766560346,8560,8561
shell,200,dups,1,0.19845899078063667,1251,1310
merge,200,dups,1,0.2760839997790754,1272,1352
quick,200,dups,1,0.12495898408815265,935,260
quick3,200,dups,1,0.13258401304483414,833,653
heap,200,dups,1,0.3402500005904585,2350,1263
insertion,200,dups,2,1.2948329967912287,8560,8561
shell,200,dups,2,0.18266699044033885,1251,1310
merge,200,dups,2,0.27520800358615816,1272,1352
quick,200,dups,2,0.1245829917024821,935,260
quick3,200,dups,2,0.0926670036278665,598,418
heap,200,dups,2,0.3395839885342866,2350,1263
insertion,800,random,0,26.3865829911083,162240,162243
shell,800,random,0,1.676957996096462,10702,11085
merge,800,random,0,1.5959159936755896,6707,7160
quick,800,random,0,0.9004579915199429,6651,1120
quick3,800,random,0,1.8471250077709556,8339,8883
heap,800,random,0,1.9660410180222243,12979,7016
insertion,800,random,1,25.45016599469818,157860,157863
shell,800,random,1,1.722958986647427,10350,10709
merge,800,random,1,1.5429590130224824,6714,7152
quick,800,random,1,0.8182910096365958,5752,1126
quick3,800,random,1,1.7181659932248294,7951,8484
heap,800,random,1,1.932167011545971,13054,7058
insertion,800,random,2,25.382082996657118,158566,158575
shell,800,random,2,1.6874580178409815,10165,10524
merge,800,random,2,1.5543749905191362,6699,7157
quick,800,random,2,0.8818750211503357,6644,1146
quick3,800,random,2,2.007541013881564,9479,10018
heap,800,random,2,1.9294999947305769,13040,7044
insertion,800,sorted,0,0.13545798719860613,799,799
shell,800,sorted,0,0.6704590050503612,4257,4257
merge,800,sorted,0,0.8983339939732105,3728,3728
quick,800,sorted,0,0.48245801008306444,4863,0
quick3,800,sorted,0,1.6569159924983978,7638,8166
heap,800,sorted,0,2.081124985124916,13639,7554
insertion,800,sorted,1,0.14262498007155955,799,799
shell,800,sorted,1,0.6521249888464808,4257,4257
merge,800,sorted,1,0.8753750007599592,3728,3728
quick,800,sorted,1,0.48058299580588937,4863,0
quick3,800,sorted,1,1.9072919967584312,9039,9553
heap,800,sorted,1,2.1889999916311353,13639,7554
insertion,800,sorted,2,0.1356659922748804,799,799
shell,800,sorted,2,0.6467080092988908,4257,4257
merge,800,sorted,2,0.8875830098986626,3728,3728
quick,800,sorted,2,0.48129100468941033,4863,0
quick3,800,sorted,2,1.7931669717654586,8411,8946
heap,800,sorted,2,2.0733750134240836,13639,7554
insertion,800,reverse,0,49.981624993961304,319600,320399
shell,800,reverse,0,1.0380829917266965,6413,7001
merge,800,reverse,0,1.3306250039022416,4048,7776
quick,800,reverse,0,0.5238750018179417,4864,399
quick3,800,reverse,0,1.8015829846262932,8469,9003
heap,800,reverse,0,1.8187090172432363,12293,6442
insertion,800,reverse,1,50.77816601260565,319600,320399
shell,800,reverse,1,1.0382500186096877,6413,7001
merge,800,reverse,1,1.3940000208094716,4048,7776
quick,800,reverse,1,0.5621250020340085,4864,399
quick3,800,reverse,1,1.7632500093895942,8063,8597
heap,800,reverse,1,1.8602500203996897,12293,6442
insertion,800,reverse,2,51.34512498625554,319600,320399
shell,800,reverse,2,1.0449170076753944,6413,7001
merge,800,reverse,2,1.33200001437217,4048,7776
quick,800,reverse,2,0.5340829957276583,4864,399
quick3,800,reverse,2,1.882874988950789,8901,9438
heap,800,reverse,2,1.820249977754429,12293,6442
insertion,800,nearly,0,0.2661250182427466,1609,1609
shell,800,nearly,0,0.7120420050341636,4711,4711
merge,800,nearly,0,0.9523330081719905,4091,4105
quick,800,nearly,0,0.4871250130236149,4863,11
quick3,800,nearly,0,1.707291987258941,7902,8434
heap,800,nearly,0,2.086458000121638,13634,7558
insertion,800,nearly,1,0.2723330107983202,1609,1609
shell,800,nearly,1,0.7249580230563879,4711,4711
merge,800,nearly,1,0.9548340167384595,4091,4105
quick,800,nearly,1,0.4853330028709024,4863,11
quick3,800,nearly,1,1.8595829897094518,8446,8975
heap,800,nearly,1,2.096707990858704,13634,7558
insertion,800,nearly,2,0.26441601221449673,1609,1609
shell,800,nearly,2,0.7326669874601066,4711,4711
merge,800,nearly,2,0.9931249951478094,4091,4105
quick,800,nearly,2,0.5257079901639372,4863,11
quick3,800,nearly,2,1.6851249965839088,7764,8298
heap,800,nearly,2,2.0779999904334545,13634,7558
insertion,800,dups,0,22.19745799084194,138378,138379
shell,800,dups,0,1.0349999938625842,6457,6709
merge,800,dups,0,1.4603329764213413,6551,6901
quick,800,dups,0,0.7453750004060566,5696,1693
quick3,800,dups,0,0.42033300269395113,2661,1881
heap,800,dups,0,1.802499988116324,12312,6464
insertion,800,dups,1,21.063291002064943,138378,138379
shell,800,dups,1,1.0229169856756926,6457,6709
merge,800,dups,1,1.480750011978671,6551,6901
quick,800,dups,1,0.7506249821744859,5696,1693
quick3,800,dups,1,0.44450000859797,2754,1974
heap,800,dups,1,1.8219999910797924,12312,6464
insertion,800,dups,2,21.154124988242984,138378,138379
shell,800,dups,2,1.0224590077996254,6457,6709
merge,800,dups,2,1.4602909795939922,6551,6901
quick,800,dups,2,0.7504999812226743,5696,1693
quick3,800,dups,2,0.37516598240472376,2332,1552
heap,800,dups,2,1.8027080222964287,12312,6464
insertion,3000,random,0,364.1846670070663,2223932,2223937
shell,3000,random,0,8.57454098877497,53862,55168
merge,3000,random,0,6.713332986691967,30877,32454
quick,3000,random,0,3.959749999921769,31098,5573
quick3,3000,random,0,8.022624999284744,37962,39936
heap,3000,random,0,9.039665979798883,60254,32090
insertion,3000,random,1,366.4478330174461,2241977,2241980
shell,3000,random,1,8.107375004328787,50574,51864
merge,3000,random,1,6.972916977247223,30964,32585
quick,3000,random,1,4.061375017045066,27836,5742
quick3,3000,random,1,8.606124989455566,38098,40103
heap,3000,random,1,9.351792017696425,60280,32161
insertion,3000,random,2,406.4807499817107,2302146,2302155
shell,3000,random,2,9.154833998763934,52908,54234
merge,3000,random,2,7.3545839986763895,30918,32558
quick,3000,random,2,4.174792004050687,29639,5713
quick3,3000,random,2,9.249916998669505,38997,41001
heap,3000,random,2,9.85629198839888,60202,32038
insertion,3000,sorted,0,0.572667020605877,2999,2999
shell,3000,sorted,0,3.2518330262973905,19364,19364
merge,3000,sorted,0,4.04008399345912,16828,16828
quick,3000,sorted,0,2.4360000097658485,24255,0
quick3,3000,sorted,0,9.25383297726512,41449,43452
heap,3000,sorted,0,10.284999996656552,62875,34252
insertion,3000,sorted,1,0.5640000163111836,2999,2999
shell,3000,sorted,1,3.130124998278916,19364,19364
merge,3000,sorted,1,4.350625007646158,16828,16828
quick,3000,sorted,1,2.3774169967509806,24255,0
quick3,3000,sorted,1,9.22466701013036,41125,43121
heap,3000,sorted,1,10.274875006871298,62875,34252
insertion,3000,sorted,2,0.6049999792594463,2999,2999
shell,3000,sorted,2,3.2414580055046827,19364,19364
merge,3000,sorted,2,4.080749989952892,16828,16828
quick,3000,sorted,2,2.4410839832853526,24255,0
quick3,3000,sorted,2,9.070250001968816,40933,42922
heap,3000,sorted,2,10.342708992538974,62875,34252
insertion,3000,reverse,0,732.6439169992227,4498500,4501499
shell,3000,reverse,0,5.137375002959743,30380,32870
merge,3000,reverse,0,5.927915975917131,18076,34904
quick,3000,reverse,0,2.541834022849798,24256,1499
quick3,3000,reverse,0,8.175250026397407,38464,40468
heap,3000,reverse,0,8.629290998214856,57537,29750
insertion,3000,reverse,1,719.1052920243237,4498500,4501499
shell,3000,reverse,1,4.994958988390863,30380,32870
merge,3000,reverse,1,5.93862499226816,18076,34904
quick,3000,reverse,1,2.4698750057723373,24256,1499
quick3,3000,reverse,1,8.352542005013674,38985,40985
heap,3000,reverse,1,8.604167000157759,57537,29750
insertion,3000,reverse,2,718.6734999995679,4498500,4501499
shell,3000,reverse,2,5.046958016464487,30380,32870
merge,3000,reverse,2,5.988040997181088,18076,34904
quick,3000,reverse,2,2.4397920060437173,24256,1499
quick3,3000,reverse,2,8.850916987285018,42996,44992
heap,3000,reverse,2,8.722500002477318,57537,29750
insertion,3000,nearly,0,2.6914170011878014,16327,16327
shell,3000,nearly,0,3.795458993408829,24168,24168
merge,3000,nearly,0,4.621458996552974,19647,19726
quick,3000,nearly,0,2.3086669971235096,24106,67
quick3,3000,nearly,0,8.465041988529265,39367,41356
heap,3000,nearly,0,9.991124999942258,62834,34186
insertion,3000,nearly,1,2.6689170044846833,16327,16327
shell,3000,nearly,1,3.7290830223355442,24168,24168
merge,3000,nearly,1,4.554165992885828,19647,19726
quick,3000,nearly,1,2.309250005055219,24106,67
quick3,3000,nearly,1,8.07958299992606,38506,40500
heap,3000,nearly,1,9.820291015785187,62834,34186
insertion,3000,nearly,2,2.6703329931478947,16327,16327
shell,3000,nearly,2,3.757500002393499,24168,24168
merge,3000,nearly,2,4.529666999587789,19647,19726
quick,3000,nearly,2,2.406291983788833,24106,67
quick3,3000,nearly,2,8.374875003937632,40351,42381
heap,3000,nearly,2,9.879375022137538,62834,34186
insertion,3000,dups,0,305.16958300722763,1983866,1983867
shell,3000,dups,0,4.624458990292624,28492,29507
merge,3000,dups,0,6.720041012158617,29938,31207
quick,3000,dups,0,3.545707993907854,26482,9222
quick3,3000,dups,0,1.8387500022072345,11358,8378
heap,3000,dups,0,8.683042018674314,56618,29561
insertion,3000,dups,1,308.9257500250824,1983866,1983867
shell,3000,dups,1,4.622333974111825,28492,29507
merge,3000,dups,1,6.564874987816438,29938,31207
quick,3000,dups,1,3.5075420164503157,26482,9222
quick3,3000,dups,1,1.6447499801870435,10352,7372
heap,3000,dups,1,8.446833991911262,56618,29561
insertion,3000,dups,2,305.17587502254173,1983866,1983867
shell,3000,dups,2,4.633125005057082,28492,29507
merge,3000,dups,2,6.613832985749468,29938,31207
quick,3000,dups,2,3.50920797791332,26482,9222
quick3,3000,dups,2,2.0054159977007657,12414,9434
heap,3000,dups,2,8.539875008864328,56618,29561
